94125000,0.0054,0,2024-04-16 13:58:54
94122000,0.001,0,2024-04-16 13:58:54
94111000,0.3602,0,2024-04-16 13:58:54
94099000,0.0348,0,2024-04-16 13:58:54
94098000,0.0157,0,2024-04-16 13:58:54
94149000,0.1138,1,2024-04-16 13:58:54
94157000,0.0348,1,2024-04-16 13:58:54
94160000,0.0002,1,2024-04-16 13:58:54
94163000,0.2127,1,2024-04-16 13:58:54
94164000,0.0631,1,2024-04-16 13:58:54
94125000,0.0064,0,2024-04-16 13:59:00
94122000,0.061,0,2024-04-16 13:59:00
94111000,0.3602,0,2024-04-16 13:59:00
94098000,0.0017,0,2024-04-16 13:59:00
94093000,0.0376,0,2024-04-16 13:59:00
94148000,0.0001,1,2024-04-16 13:59:00
94149000,0.0329,1,2024-04-16 13:59:00
94160000,0.0002,1,2024-04-16 13:59:00
94163000,0.2127,1,2024-04-16 13:59:00
94164000,0.0317,1,2024-04-16 13:59:00
94130000,0.0001,0,2024-04-16 13:59:06
94128000,0.0154,0,2024-04-16 13:59:06
94126000,0.0241,0,2024-04-16 13:59:06
94125000,0.2224,0,2024-04-16 13:59:06
94122000,0.0738,0,2024-04-16 13:59:06
94148000,0.0001,1,2024-04-16 13:59:06
94149000,0.0381,1,2024-04-16 13:59:06
94155000,0.0002,1,2024-04-16 13:59:06
94160000,0.0002,1,2024-04-16 13:59:06
94163000,0.2127,1,2024-04-16 13:59:06
94129000,0.0522,0,2024-04-16 13:59:12
94126000,0.0015,0,2024-04-16 13:59:12
94125000,0.2264,0,2024-04-16 13:59:12
94122000,0.0615,0,2024-04-16 13:59:12
94111000,0.0002,0,2024-04-16 13:59:12
94130000,0.01,1,2024-04-16 13:59:12
94148000,0.0123,1,2024-04-16 13:59:12
94149000,0.0381,1,2024-04-16 13:59:12
94155000,0.0002,1,2024-04-16 13:59:12
94157000,0.0237,1,2024-04-16 13:59:12
